source,source_name,status,weather_source,rain_24h_mm,rain_72h_mm,precip_probability_24h_pct,planned_capacity_tpd,capacity_factor,effective_capacity_tpd,today_allocated_tonnes,utilization_pct,remaining_capacity_tonnes
S1,Talcher-area source,WATCH,open-meteo,3.1,38.9,88.0,16000.0,0.79,12640.0,0.0,0.0,12640.0
S2,Ib-Valley-area source,WATCH,open-meteo,1.3,21.0,88.0,13000.0,0.79,10270.0,9870.0,96.10516066212269,400.0
S3,Korba-area source,WATCH,open-meteo,0.7,8.2,63.0,15000.0,0.79,11850.0,11850.0,100.0,0.0
S4,Mand-Raigarh-area source,WATCH,open-meteo,0.5,15.9,65.0,12000.0,0.79,9480.0,9480.0,100.0,0.0
