,Plant 1,Plant 2,Plant 3,Plant 4,Plant 5,Plant 6,Total supplied
Talcher-area source,200920.3774950382,0.0,0.0,0.0,0.0,44994.285226926586,245914.6627219648
Ib-Valley-area source,0.0,225838.0998809431,66180.71383328171,0.0,0.0,41093.710076077754,333112.52379030257
Korba-area source,0.0,0.0,166772.99065755104,258595.31678387185,0.0,0.0,425368.3074414229
Mand-Raigarh-area source,0.0,0.0,0.0,0.0,206606.89066116366,136131.10933883634,342738.0
Total received,200920.3774950382,225838.0998809431,232953.70449083275,258595.31678387185,206606.89066116366,222219.10464184068,1347133.4939536902
