,Plant 1,Plant 2,Plant 3,Plant 4,Plant 5,Plant 6,Total supplied
Talcher-area source,409863.13910646574,0.0,0.0,0.0,0.0,44994.285226926586,454857.4243333923
Ib-Valley-area source,0.0,414466.98189125967,66180.71383328171,0.0,0.0,44887.59530840142,525535.2910329428
Korba-area source,0.0,0.0,364107.8210683437,479146.00959593424,0.0,1123.3427264482598,844377.1733907263
Mand-Raigarh-area source,0.0,0.0,0.0,0.0,377823.8758705278,304640.2056191175,682464.0814896453
Total received,409863.13910646574,414466.98189125967,430288.5349016254,479146.00959593424,377823.8758705278,395645.42888089374,2507233.9702467066
